id,focus,signal,slack,drag,confidence,score,lane
l001,grammar width,35,33,6,25,178,watch
l002,label quality,35,34,6,55,210,ship
l003,error locality,35,35,6,85,242,ship
l004,token drift,35,36,18,25,148,watch
l005,grammar width,35,37,18,55,180,watch
l006,label quality,35,38,18,85,212,ship
l007,error locality,35,39,34,25,106,hold
l008,token drift,35,40,34,55,138,watch
l009,grammar width,35,41,34,85,170,watch
l010,label quality,60,42,6,25,271,ship
l011,error locality,60,43,6,55,303,ship
l012,token drift,60,44,6,85,335,ship
l013,grammar width,60,45,18,25,241,ship
l014,label quality,60,46,18,55,273,ship
l015,error locality,60,47,18,85,305,ship
l016,token drift,60,48,34,25,199,watch
l017,grammar width,60,32,34,55,197,watch
l018,label quality,60,33,34,85,229,ship
l019,error locality,85,34,6,25,330,ship
l020,token drift,85,35,6,55,362,ship
l021,grammar width,85,36,6,85,394,ship
l022,label quality,85,37,18,25,300,ship
l023,error locality,85,38,18,55,332,ship
l024,token drift,85,39,18,85,364,ship
l025,grammar width,85,40,34,25,258,ship
l026,label quality,85,41,34,55,290,ship
l027,error locality,85,42,34,85,322,ship
